"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
0.7,103,FALSE,6.7,1,"Giroud",0.6,"a",5,8,3,12280,563,70474,1724,0.1,0.4,"Giroud",33,0,0,0,0,0,0,0,0,0,0,0,8,1,3.9,6,1.1,404,50,332,48,316,51,392,50
5.3,117,FALSE,9.4,5.4,"Werner",24.6,"a",5,8,43,1077021,130343,2505179,49588,0.6,4.6,"Werner",695,4,2,3,9,0,0,0,0,0,0,5,169,192.2,97.3,327,61.7,30,8,69,6,11,6,15,7
4.7,118,FALSE,7.2,3.9,"Abraham",2.3,"a",5,8,27,80730,14881,240046,6462,0.7,3.8,"Abraham",377,2,2,2,5,0,0,0,0,0,0,2,92,113,71.6,224,41,121,15,115,16,23,15,42,15
2.3,108,FALSE,5.8,2.8,"Batshuayi",0.8,"a",6,31,14,46303,2798,141782,7111,0.4,2.4,"Batshuayi",279,0,2,1,3,0,0,0,0,0,0,0,35,37.8,15,109,16,277,31,273,39,62,24,190,27
0.7,132,FALSE,5.5,1,"Benteke",0.2,"a",6,31,4,18262,670,25444,962,0.1,0.7,"Benteke",21,0,0,0,1,0,0,0,0,0,0,0,11,4.2,0.6,10,1.5,386,43,372,52,282,47,387,48
0,136,FALSE,4.5,0,"Wickham",0.6,"i",6,31,0,29516,411,81214,2961,0,0,"Wickham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,55,488,57,461,56,506,57
3,140,FALSE,5.7,3.3,"Ayew",1.8,"a",6,31,20,88957,11435,405094,6200,0.5,3.5,"Ayew",443,1,1,1,8,0,0,0,0,0,0,2,48,65.8,20.2,107,19.3,204,22,249,37,64,25,155,24
0.3,153,FALSE,6,0.5,"Tosun",0,"a",7,11,1,806,218,790,135,0,0.2,"Tosun",31,0,0,0,2,0,0,0,1,0,0,0,3,2.2,10.8,2,1.5,398,48,302,44,343,53,388,49
4.7,164,FALSE,7.8,7.1,"Calvert-Lewin",57.5,"a",7,11,57,3939309,146799,648901,86587,0.6,7.3,"Calvert-Lewin",698,8,1,1,14,0,0,0,1,0,0,7,223,307.2,73.1,431,81.1,6,3,111,15,4,2,6,2
0,166,FALSE,7.8,4.4,"de Andrade",3.9,"d",7,11,22,405926,22012,854738,10986,0,2.8,"Richarlison",382,1,3,1,5,0,0,0,1,1,0,4,84,107.6,52.2,193,35.1,132,16,144,20,28,16,58,17
0,169,FALSE,5.8,1,"Kean",0.2,"n",7,11,2,7860,15,34124,564,0,0.3,"Kean",13,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3,11,0.9,591,72,363,50,276,46,393,51
0,596,FALSE,4.5,0,"Simms",0,"a",7,11,0,1193,735,430,348,0,0,"Simms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,57,506,59,481,58,520,59
3.3,181,FALSE,5.3,2.7,"Decordova-Reid",0.2,"a",8,54,19,15075,1641,17121,1298,0.6,3.6,"Decordova-Reid",386,2,0,2,4,0,0,0,2,0,0,2,85,83.2,32.9,140,25.5,177,19,195,28,45,20,100,21
