"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
1.3,95,FALSE,5,1.5,"Brady",0,"d",4,90,6,1208,123,3856,160,0.3,1.2,"Brady",167,0,0,1,1,0,0,0,0,0,0,0,24,23.8,5.7,23,5.3,314,133,318,164,227,120,329,152
2,98,FALSE,5,2.1,"Brownhill",0,"a",4,90,15,2410,202,2887,217,0.4,3,"Brownhill",630,0,0,2,12,0,0,0,1,0,0,0,89,67,91.8,55,21.4,198,78,79,53,146,78,136,69
2.3,100,FALSE,5.8,2.6,"McNeil",0.4,"a",4,90,18,15613,391,45982,1991,0.4,3.1,"McNeil",630,0,1,2,12,0,0,0,1,0,0,0,91,101,152,16,27,143,53,29,22,258,131,92,52
0,535,FALSE,4.5,0,"Benson",0,"a",4,90,0,1512,91,988,111,0,0,"Benson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,196,505,197,480,185,519,196
0,551,FALSE,4.5,0,"Goodridge",0,"a",4,90,0,506,60,353,49,0,0,"Goodridge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,195,500,196,474,183,515,195
1.7,105,FALSE,5.2,5.3,"Frello Filho",10.7,"a",5,8,37,1184879,22875,689738,140419,0.3,7.1,"Jorginho",455,3,2,2,6,0,0,1,0,0,0,4,134,175.2,65,77,31.8,39,12,127,79,95,53,74,44
1.7,107,FALSE,5.3,2.2,"Kovacic",0.2,"a",5,8,9,20463,551,27084,1390,0.3,1.7,"Kovacic",200,0,1,0,6,0,0,0,0,0,0,0,43,34.6,26.6,14,7.5,287,120,213,127,263,134,300,139
3.7,113,FALSE,4.9,2.6,"Kanté",3.3,"a",5,8,21,128376,12289,246216,11948,0.8,4.3,"Kanté",712,0,1,3,10,0,0,0,1,0,0,0,128,128.4,58.5,19,20.7,93,33,135,84,243,127,146,74
8.7,114,FALSE,8.2,6.8,"Ziyech",15.7,"a",5,8,27,1113591,533048,160389,13671,1.1,3.3,"Ziyech",189,1,3,1,2,0,0,0,0,0,0,6,87,101.2,114.2,34,25,142,52,55,38,193,101,106,57
1,119,FALSE,8.2,2,"Pulisic",2,"i",5,8,6,259909,378,839125,38454,0.1,0.7,"Pulisic",173,0,0,1,2,0,0,0,0,0,0,0,20,26.4,14.1,72,11.3,306,129,278,151,108,62,245,112
