"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
4,200,FALSE,4.5,3.1,"Dallas",5.9,"a",10,2,25,359745,11304,244362,26405,0.9,5.6,"Dallas",710,1,1,2,16,0,0,0,2,0,0,0,142,168.6,62.7,104,33.6,46,12,131,32,65,6,64,10
2.7,201,FALSE,4.4,1.8,"Alioski",0.4,"d",10,2,11,16158,673,36185,2442,0.6,2.5,"Alioski",255,0,0,1,6,0,0,0,0,0,0,1,53,43.6,55,57,15.7,255,102,140,35,138,29,192,59
0,211,FALSE,4,0.5,"Struijk",2.4,"a",10,2,2,166909,7991,128300,9707,0,0.5,"Struijk",254,0,0,0,9,0,0,0,1,0,0,0,42,56.6,15.5,8,8.1,226,94,271,84,292,98,288,101
0,214,FALSE,4,1,"Davis",1.3,"a",10,2,1,47162,2130,65841,4584,0,0.2,"Davis",13,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3,0,0,442,169,376,143,389,152,445,169
0,215,FALSE,3.9,0,"Casey",1.5,"a",10,2,0,84856,10377,45407,6573,0,0,"Casey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,158,397,158,361,140,418,158
2.7,491,FALSE,4.5,2.4,"Koch",0.8,"a",10,2,19,45955,1091,34768,5471,0.6,4.2,"Koch",720,0,0,2,17,0,0,0,0,0,0,2,128,145.8,15.6,71,23.3,64,17,270,83,111,18,117,30
0,549,FALSE,4.4,0,"Llorente",0,"i",10,2,0,2579,45,2614,140,0,0,"Llorente",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,191,463,190,433,178,484,191
0,242,FALSE,4.9,0,"Tsimikas",0,"a",11,14,0,937,408,3016,114,0,0,"Tsimikas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,214,554,214,544,209,565,214
0.3,246,FALSE,5.4,1,"Matip",0.3,"a",11,14,3,17516,5420,32886,963,0.1,0.6,"Matip",181,0,0,0,3,0,0,0,1,0,0,0,24,24,1.4,17,4.2,311,126,360,135,254,81,347,123
0,250,FALSE,6.3,3,"van Dijk",8.3,"i",11,14,15,379254,445,1865775,47190,0,2.4,"van Dijk",370,1,0,1,11,0,0,0,1,0,0,1,73,82.4,4.8,66,15.3,180,74,324,110,121,20,197,62
2,255,FALSE,7.1,3.9,"Robertson",16.9,"a",11,14,31,951030,52878,709634,115587,0.3,4.4,"Robertson",720,1,2,1,16,0,0,0,0,0,0,4,161,169.6,184.9,128,48.4,43,11,18,3,49,2,32,3
2,259,FALSE,7.3,2.6,"Alexander-Arnold",23.2,"d",11,14,21,386429,4443,2330544,429152,0.3,2.9,"Alexander-Arnold",690,0,1,1,16,0,0,0,1,0,0,4,144,133.2,225.3,93,45.1,80,26,11,2,77,11,36,4
2,260,FALSE,5.4,1.4,"Gomez",2.3,"i",11,14,10,108427,5284,286258,39380,0.4,1.9,"Gomez",589,0,0,0,14,0,0,0,0,0,0,0,94,106.8,18.1,0,12.5,135,53,256,73,579,215,232,77
0,264,FALSE,3.9,0,"Williams",3.6,"a",11,14,0,120689,29129,175194,11920,0,0,"Neco Williams",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,155,394,155,357,136,415,155
0.7,589,FALSE,4,2,"Phillips",0.6,"a",11,14,2,51016,19630,8917,5541,0.2,0.5,"Phillips",90,0,0,0,1,0,0,0,0,0,0,0,14,22.2,11.7,0,3.4,321,130,296,96,379,146,354,127
0,594,FALSE,4,0,"Williams",0.1,"d",11,14,0,5450,2450,1278,960,0,0,"Rhys Williams",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,165,417,165,382,148,438,165
0,266,FALSE,5.4,1.2,"Luiz Rosa",0.7,"i",12,43,5,38526,39,85704,4233,0,0.9,"Fernandinho",154,0,0,0,2,0,0,0,0,0,0,0,24,33.4,13.2,30,7.7,292,115,284,91,203,59,297,104
0,269,FALSE,4.9,0,"Otamendi",0.2,"u",12,43,0,5315,8,41917,723,0,0,"Otamendi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,211,550,211,538,205,561,211
6,270,FALSE,6.1,4.1,"Walker",8.3,"a",12,43,29,384722,61945,224502,24616,1,4.8,"Walker",617,1,0,2,9,0,0,0,1,0,0,4,115,124.4,67.3,57,24.7,99,35,123,28,142,31,109,27
0,273,FALSE,4.8,2,"Stones",0.4,"a",12,43,2,21044,517,33371,1532,0,0.4,"Stones",90,0,0,0,1,0,0,0,0,0,0,0,14,20.2,0.3,0,2.1,325,132,381,146,514,197,375,140
0,274,FALSE,5.9,0.7,"Mendy",1,"d",12,43,2,22459,111,92557,3540,0,0.3,"Mendy",250,0,0,0,7,0,0,0,2,0,0,0,23,16.6,26.2,10,5.1,340,136,216,57,284,93,335,118
5.3,277,FALSE,5.4,6,"Cancelo",2.4,"a",12,43,24,164316,65288,73014,10521,1,4.4,"Cancelo",360,0,1,2,2,0,0,0,1,0,0,6,95,107.6,147.2,30,28.5,131,51,33,7,204,60,83,18
0,279,FALSE,5.5,3.2,"Aké",4.9,"d",12,43,13,247292,2580,429405,38905,0,2.4,"Aké",289,1,0,1,6,0,0,0,2,0,0,0,57,64.4,24.7,19,10.8,207,86,228,62,245,76,250,85
3,280,FALSE,6,3.7,"Laporte",2.8,"a",12,43,11,75126,9300,229908,5060,0.5,1.8,"Laporte",270,0,0,1,2,0,0,0,1,0,0,2,47,41.4,13.3,10,6.5,265,103,282,89,286,94,307,109
0.3,283,FALSE,5.5,1,"Zinchenko",0.2,"a",12,43,1,4705,349,22198,592,0.1,0.2,"Zinchenko",12,0,0,0,0,0,0,0,0,0,0,0,3,0.4,1.2,0,0.2,407,151,366,139,587,217,407,150
0.7,288,FALSE,4.8,1,"Garcia",0.2,"a",12,43,2,8533,473,17547,964,0.1,0.4,"Garcia",180,0,0,0,6,0,0,0,0,0,0,0,33,37,22.6,1,6,279,109,238,67,350,130,316,113
3.3,556,FALSE,5.5,3.4,"Gato Alves Dias",1.9,"a",12,43,17,156459,17520,38189,7866,0.6,3.1,"Dias",450,0,0,2,3,0,0,0,1,0,0,0,95,89.2,6.4,10,10.6,167,70,316,104,283,92,254,87
0,292,FALSE,4.9,0,"Smalling",0.1,"u",13,1,0,1861,5,11353,252,0,0,"Smalling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,210,549,210,537,204,560,210
0,294,FALSE,4.8,0,"Rojo",0.1,"a",13,1,0,820,87,3373,184,0,0,"Rojo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,205,528,205,509,196,541,205
0,297,FALSE,4.9,0,"Jones",0,"n",13,1,0,488,5,4347,94,0,0,"Jones",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,212,552,212,540,206,563,212
3.3,298,FALSE,5.4,3,"Maguire",3.2,"d",13,1,21,126826,22245,191958,12457,0.6,3.9,"Maguire",630,1,1,1,14,0,0,0,2,0,0,1,123,129.2,30.1,118,27.8,89,31,201,49,55,4,86,19
4.7,300,FALSE,4.9,2,"Shaw",0.9,"i",13,1,14,73774,1977,112718,12290,1,2.9,"Shaw",606,0,1,1,14,1,0,0,2,0,0,2,110,113.4,113.8,29,25.8,119,45,56,14,207,62,97,23
0.3,307,FALSE,4.4,1,"Tuanzebe",0.1,"a",13,1,1,11446,1016,6395,1053,0.1,0.2,"Tuanzebe",23,0,0,0,0,0,0,0,0,0,0,0,2,7,0.3,0,0.7,376,145,378,145,437,180,397,147
3.3,308,FALSE,4.9,2.3,"Lindelöf",1.2,"d",13,1,14,40817,5276,90458,6466,0.7,2.9,"Lindelöf",540,0,0,1,8,0,0,0,0,0,0,0,100,100.8,17.7,8,12.7,144,56,260,77,299,101,228,75
0,310,FALSE,4.9,-0.5,"Bailly",0.2,"d",13,1,-1,8122,43,19616,828,0,-0.2,"Bailly",98,0,0,0,7,0,0,0,1,0,0,0,11,25,0.1,0,2.5,308,124,389,151,542,207,365,135
0,312,FALSE,4.4,0,"Fosu-Mensah",0.1,"a",13,1,0,4023,156,7083,364,0,0,"Fosu-Mensah",80,0,0,0,2,0,0,0,1,0,0,0,17,17.8,30.5,16,6.4,337,135,199,48,255,82,309,111
3.3,313,FALSE,5.4,3,"Wan-Bissaka",9,"a",13,1,18,312626,34811,536472,24424,0.6,3.3,"Wan-Bissaka",540,1,0,1,11,0,0,0,0,0,0,0,95,127.8,37.2,48,21.2,95,33,179,44,163,40,139,42
0,314,FALSE,4.8,0,"Dalot Teixeira",0,"n",13,1,0,410,4,3224,93,0,0,"Dalot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,208,545,208,532,202,556,208
0,318,FALSE,4.3,0,"Williams",0.8,"a",13,1,0,16672,804,81022,3144,0,0,"Williams",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,180,437,179,405,165,459,180
0,319,FALSE,3.9,0,"Mengi",0.8,"a",13,1,0,26250,9803,29727,3184,0,0,"Mengi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,157,396,157,360,139,417,157
0,568,FALSE,5.5,0,"Telles",0.9,"a",13,1,0,127029,20341,72929,6153,0,0,"Telles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,217,586,217,583,216,587,217
1.7,323,FALSE,4.9,2,"Fernández",0.9,"a",14,4,16,26741,779,70344,5319,0.3,3.3,"Fernández",720,0,0,1,13,0,0,0,1,0,0,1,128,187.8,23.2,4,21.4,31,8,235,65,329,120,135,41
0,324,FALSE,4.5,0,"Clark",0,"a",14,4,0,1125,74,3435,126,0,0,"Clark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,196,487,196,460,186,505,196
0,327,FALSE,4.3,0,"Lejeune",0,"n",14,4,0,251,17,2393,39,0,0,"Lejeune",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,174,431,173,399,159,453,174
1.7,328,FALSE,4.4,1.9,"Lascelles",1.8,"a",14,4,13,73408,1697,189394,7585,0.4,3,"Lascelles",627,0,0,1,12,0,0,0,1,0,0,0,96,117.2,2.1,26,14.6,113,40,343,124,217,66,203,65
0,331,FALSE,4.4,0,"Dummett",0,"i",14,4,0,156,33,1253,35,0,0,"Dummett",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,186,456,185,426,173,477,186
0,332,FALSE,4.4,2.2,"Manquillo",0.3,"a",14,4,9,13350,70,23259,1478,0,2,"Manquillo",305,0,0,1,5,0,0,0,1,0,0,0,51,37,29.4,14,8,278,108,203,51,260,84,290,102
0,333,FALSE,4.3,2,"Krafth",0.1,"a",14,4,4,1533,87,4365,248,0,0.9,"Krafth",180,0,1,0,5,0,0,0,1,0,0,0,30,40.2,26.9,2,6.9,269,104,210,53,335,124,302,105
